shot_id,timestamp,score_marker,sample_index,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1779008826011,2026-05-17 11:07:06.011,S0-0_G2-1,45,-7.0139613,-3.8746865,0.20361568,1.8240547,-2.0419078,0.3898987
1779008826011,2026-05-17 11:07:06.011,S0-0_G2-1,46,-7.7996783,-3.193173,3.1380768,1.70847,-1.8364388,0.4109383
1779008826011,2026-05-17 11:07:06.011,S0-0_G2-1,47,-9.108808,-2.8003144,5.1203356,1.8548151,-1.5903552,0.43277687
1779008826011,2026-05-17 11:07:06.011,S0-0_G2-1,48,-10.268219,-2.435004,6.3564024,1.8197935,-1.6637275,0.49163455
1779008826011,2026-05-17 11:07:06.011,S0-0_G2-1,49,-10.233484,-1.8541003,7.289441,1.928587,-1.7398962,0.66700906
1779008826011,2026-05-17 11:07:06.011,S0-0_G2-1,50,-9.311225,-0.041920874,8.822548,1.0985875,-1.6117942,0.6816569
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,0,1.5858068,-9.030954,1.5223266,0.21532315,-0.45967564,2.42395
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,1,0.31859866,-10.580829,0.9821462,0.78299326,-0.8359918,2.367356
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,2,0.36411273,-10.4035635,1.3522476,0.6307889,-0.9164217,2.281866
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,3,0.2682936,-10.711382,2.0696936,0.62945735,-0.9824701,1.9763921
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,4,0.3018303,-11.930681,2.752405,0.3908308,-1.0196223,1.6253768
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,5,0.8899203,-12.757121,3.271026,0.4980263,-0.88246536,1.4782326
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,6,-0.0035932178,-11.458772,3.4614666,0.5278546,-0.8442478,1.5669186
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,7,-1.1797732,-9.135158,3.9609237,0.74437624,-0.94425255,1.6533408
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,8,-0.3808811,-9.677733,4.5909348,0.65995145,-1.2031198,1.8043467
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,9,1.6049706,-11.815698,3.2075458,0.2319684,-1.3646454,2.1064916
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,10,2.5835235,-11.7618,1.5355017,0.29961476,-1.67731,2.0055547
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,11,4.555002,-10.681438,1.9606992,0.40374753,-1.4948779,1.9126074
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,12,3.789647,-10.033462,1.4169255,0.37059018,-1.6509439,1.8315117
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,13,3.5548902,-8.12187,1.3438635,-0.033423692,-1.7628001,1.7382983
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,14,3.578845,-6.901374,1.203728,-0.27364814,-1.7424263,1.5124553
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,15,2.6577835,-7.2127857,1.3594341,0.048870496,-1.8703951,1.2694345
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,16,2.6865292,-6.688176,2.6218512,-0.35900506,-1.8392352,1.0722214
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,17,3.206348,-6.6821876,3.2362914,-0.44542727,-1.7609358,0.8915204
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,18,2.5895123,-6.6941648,3.399184,-0.49203402,-1.9674703,0.63385165
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,19,2.5667553,-6.138414,4.6544147,-0.48417747,-2.0564225,0.2819042
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,20,2.1379645,-4.6005163,7.8212376,-0.8482427,-2.1885195,-0.32811147
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,21,6.163566,-3.707003,11.220422,-0.79591,-1.6433537,-1.2823511
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,22,9.966389,-2.0361567,14.677097,0.16805059,-0.9810053,-2.5810814
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,23,15.891604,-0.46831605,16.080847,0.21985066,0.031958908,-3.7353306
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,24,22.018042,-1.0228693,13.3512,-0.50361913,1.3501307,-4.4063344
1779008838474,2026-05-17 11:07:18.474,S0-0_G2-1,25,25.884344,-3.3919976,13.533256,-1.7055404,2.6422026,-5.272554
